filename,row,col,x,y,w,h,area,label
img1_r00_c00.png,0,0,433,217,28,37,709,
img1_r00_c01.png,0,1,610,214,22,24,207,
img1_r00_c02.png,0,2,671,210,22,38,273,
img1_r00_c03.png,0,3,732,213,34,37,412,
img1_r00_c04.png,0,4,822,213,27,32,388,
img1_r00_c05.png,0,5,899,207,21,42,456,
img1_r00_c06.png,0,6,982,203,20,42,264,
img1_r00_c07.png,0,7,1041,202,21,46,600,
img1_r00_c08.png,0,8,1098,204,33,49,462,
img1_r00_c09.png,0,9,1379,211,24,25,409,
img1_r00_c10.png,0,10,1610,215,23,32,252,
img1_r00_c11.png,0,11,1675,219,26,31,253,
img1_r00_c12.png,0,12,1745,207,33,39,371,
img1_r00_c13.png,0,13,1823,199,24,38,282,
img1_r00_c14.png,0,14,1900,196,21,45,507,
img1_r00_c15.png,0,15,1975,197,24,37,242,
img1_r00_c16.png,0,16,2033,183,24,53,598,
img1_r00_c17.png,0,17,2096,176,24,54,468,
img1_r01_c00.png,1,0,441,277,29,32,362,
img1_r01_c01.png,1,1,621,285,26,30,237,
img1_r01_c02.png,1,2,671,284,22,34,248,
img1_r01_c03.png,1,3,735,282,34,43,442,
img1_r01_c04.png,1,4,816,292,24,34,404,
img1_r01_c05.png,1,5,892,282,24,37,493,
img1_r01_c06.png,1,6,993,284,22,46,282,
img1_r01_c07.png,1,7,1059,285,19,48,499,
img1_r01_c08.png,1,8,1096,277,32,54,594,
img1_r01_c09.png,1,9,1371,285,33,38,391,
img1_r01_c10.png,1,10,1672,298,24,37,282,
img1_r01_c11.png,1,11,1746,284,36,37,434,
img1_r01_c12.png,1,12,1823,288,25,35,370,
img1_r01_c13.png,1,13,1902,274,26,49,567,
img1_r01_c14.png,1,14,1976,287,21,32,226,
img1_r01_c15.png,1,15,2037,270,21,52,734,
img1_r01_c16.png,1,16,2085,260,30,54,622,
img1_r02_c00.png,2,0,434,361,22,25,383,
img1_r02_c01.png,2,1,676,359,19,34,234,
img1_r02_c02.png,2,2,723,353,33,45,552,
img1_r02_c03.png,2,3,813,362,36,39,384,
img1_r02_c04.png,2,4,882,355,27,44,480,
img1_r02_c05.png,2,5,981,368,29,42,273,
img1_r02_c06.png,2,6,1059,367,21,47,612,
img1_r02_c07.png,2,7,1104,364,23,48,451,
img1_r02_c08.png,2,8,1370,370,23,34,556,
