filename,img_source,row,col,x,y,w,h,area,digit_label
img1_r000_c000.png,1,0,0,900,9,38,13,218,
img1_r000_c001.png,1,0,1,1021,38,37,13,143,
img1_r000_c002.png,1,0,2,1191,16,36,12,188,
img1_r000_c003.png,1,0,3,1382,29,25,9,146,
img1_r000_c004.png,1,0,4,1679,35,122,19,359,
img1_r000_c005.png,1,0,5,1818,0,30,11,142,
img1_r000_c006.png,1,0,6,1824,21,37,16,195,
img1_r000_c007.png,1,0,7,1896,29,31,12,152,
img1_r000_c008.png,1,0,8,1945,51,33,12,134,
img1_r001_c000.png,1,1,0,195,97,31,11,137,
img1_r001_c001.png,1,1,1,471,81,37,17,127,
img1_r001_c002.png,1,1,2,1066,90,37,14,184,
img1_r001_c003.png,1,1,3,1187,55,27,14,201,
img1_r001_c004.png,1,1,4,1317,73,31,11,184,
img1_r001_c005.png,1,1,5,1792,109,27,12,169,
img1_r001_c006.png,1,1,6,2055,63,37,24,173,
img1_r001_c007.png,1,1,7,2511,102,45,16,217,
img1_r001_c008.png,1,1,8,2566,106,27,14,127,
img1_r002_c000.png,1,2,0,246,110,53,26,177,
img1_r003_c000.png,1,3,0,2542,121,143,154,1015,
img1_r004_c000.png,1,4,0,180,128,30,11,127,
img1_r004_c001.png,1,4,1,2767,175,25,21,159,
img1_r004_c002.png,1,4,2,2827,136,16,22,142,
img1_r005_c000.png,1,5,0,207,242,27,9,144,
img1_r005_c001.png,1,5,1,241,248,19,15,121,
img1_r005_c002.png,1,5,2,246,200,25,9,123,
img1_r005_c003.png,1,5,3,249,222,21,15,191,
img1_r005_c004.png,1,5,4,434,218,28,37,699,
img1_r005_c005.png,1,5,5,519,212,11,33,161,
img1_r005_c006.png,1,5,6,608,214,27,25,234,
img1_r005_c007.png,1,5,7,670,210,24,39,276,
img1_r005_c008.png,1,5,8,732,213,35,39,386,
img1_r005_c009.png,1,5,9,823,213,27,33,388,
img1_r005_c010.png,1,5,10,901,207,21,44,447,
img1_r005_c011.png,1,5,11,981,203,22,43,262,
img1_r005_c012.png,1,5,12,1041,203,22,47,585,
img1_r005_c013.png,1,5,13,1099,204,33,52,440,
img1_r005_c014.png,1,5,14,1380,212,25,25,420,
img1_r005_c015.png,1,5,15,1609,215,26,34,271,
img1_r005_c016.png,1,5,16,1673,219,29,32,266,
img1_r005_c017.png,1,5,17,1746,205,34,43,388,
img1_r005_c018.png,1,5,18,1823,198,25,41,303,
img1_r005_c019.png,1,5,19,1901,196,21,46,518,
img1_r005_c020.png,1,5,20,1974,198,26,39,269,
img1_r005_c021.png,1,5,21,2034,184,24,53,585,
img1_r005_c022.png,1,5,22,2097,176,24,56,452,
img1_r005_c023.png,1,5,23,2877,235,36,13,164,
img1_r005_c024.png,1,5,24,2916,213,11,21,120,
img1_r006_c000.png,1,6,0,94,285,52,20,293,
img1_r006_c001.png,1,6,1,234,285,29,35,142,
img1_r006_c002.png,1,6,2,442,278,29,32,331,
img1_r006_c003.png,1,6,3,516,285,13,31,161,
img1_r006_c004.png,1,6,4,621,284,28,33,252,
img1_r006_c005.png,1,6,5,670,284,23,35,255,
img1_r006_c006.png,1,6,6,736,282,34,45,392,
img1_r006_c007.png,1,6,7,816,292,25,35,395,
img1_r006_c008.png,1,6,8,893,282,24,38,481,
img1_r006_c009.png,1,6,9,992,285,24,47,286,
img1_r006_c010.png,1,6,10,1060,287,19,47,468,
img1_r006_c011.png,1,6,11,1097,281,21,18,155,
img1_r006_c012.png,1,6,12,1371,286,34,38,408,
img1_r006_c013.png,1,6,13,1597,304,26,26,203,
img1_r006_c014.png,1,6,14,1672,298,25,38,275,
img1_r006_c015.png,1,6,15,1747,285,36,38,401,
img1_r006_c016.png,1,6,16,1824,288,24,35,259,
img1_r006_c017.png,1,6,17,1903,274,26,50,534,
img1_r006_c018.png,1,6,18,1976,288,21,33,212,
img1_r006_c019.png,1,6,19,2038,271,21,52,700,
img1_r006_c020.png,1,6,20,2086,261,30,55,574,
img1_r007_c000.png,1,7,0,225,372,26,65,297,
img1_r007_c001.png,1,7,1,435,363,22,24,369,
img1_r007_c002.png,1,7,2,623,368,24,24,186,
img1_r007_c003.png,1,7,3,676,359,20,35,240,
img1_r007_c004.png,1,7,4,724,354,33,47,411,
img1_r007_c005.png,1,7,5,813,362,39,40,396,
img1_r007_c006.png,1,7,6,883,354,29,46,396,
img1_r007_c007.png,1,7,7,980,368,32,44,322,
img1_r007_c008.png,1,7,8,1060,368,22,48,610,
img1_r007_c009.png,1,7,9,1105,365,23,48,240,
img1_r007_c010.png,1,7,10,1370,372,24,34,574,
img1_r007_c011.png,1,7,11,1596,372,29,28,248,
img1_r007_c012.png,1,7,12,1678,369,18,34,227,
img1_r007_c013.png,1,7,13,1762,363,33,49,395,
img1_r007_c014.png,1,7,14,1834,375,26,33,354,
img1_r007_c015.png,1,7,15,1892,365,20,44,408,
img1_r007_c016.png,1,7,16,1955,363,30,44,302,
img1_r007_c017.png,1,7,17,2031,354,25,47,696,
img1_r007_c018.png,1,7,18,2090,350,25,29,281,
img1_r007_c019.png,1,7,19,2717,340,65,51,299,
img1_r008_c000.png,1,8,0,416,516,23,25,245,
img1_r008_c001.png,1,8,1,425,440,27,27,447,
img1_r008_c002.png,1,8,2,484,517,13,30,164,
img1_r008_c003.png,1,8,3,499,445,12,26,138,
img1_r008_c004.png,1,8,4,605,519,26,28,243,
img1_r008_c005.png,1,8,5,612,442,28,29,240,
img1_r008_c006.png,1,8,6,652,518,22,33,283,
img1_r008_c007.png,1,8,7,668,434,21,37,276,
img1_r008_c008.png,1,8,8,698,512,34,44,437,
img1_r008_c009.png,1,8,9,715,433,25,41,410,
img1_r008_c010.png,1,8,10,793,514,38,42,437,
img1_r008_c011.png,1,8,11,795,441,28,36,286,
img1_r008_c012.png,1,8,12,887,429,25,52,592,
img1_r008_c013.png,1,8,13,986,440,26,52,364,
img1_r008_c014.png,1,8,14,1059,442,23,51,543,
img1_r008_c015.png,1,8,15,1092,521,19,25,202,
img1_r008_c016.png,1,8,16,1099,439,21,51,228,
img1_r008_c017.png,1,8,17,1379,446,22,32,517,
img1_r008_c018.png,1,8,18,1589,460,24,27,213,
img1_r008_c019.png,1,8,19,1670,453,17,31,239,
img1_r008_c020.png,1,8,20,1672,514,20,39,293,
img1_r008_c021.png,1,8,21,1755,511,35,40,411,
img1_r008_c022.png,1,8,22,1827,514,27,43,417,
img1_r008_c023.png,1,8,23,1828,452,21,34,249,
img1_r008_c024.png,1,8,24,1886,443,27,44,572,
img1_r008_c025.png,1,8,25,1959,517,23,36,258,
img1_r008_c026.png,1,8,26,2018,502,24,49,759,
img1_r008_c027.png,1,8,27,2023,427,28,53,509,
img1_r008_c028.png,1,8,28,2073,499,18,18,133,
img1_r008_c029.png,1,8,29,2087,419,28,50,397,
img1_r008_c030.png,1,8,30,2759,395,178,194,1246,
img1_r009_c000.png,1,9,0,199,554,34,82,458,
img1_r009_c001.png,1,9,1,692,574,34,43,444,
img1_r009_c002.png,1,9,2,803,577,24,11,126,
img1_r009_c003.png,1,9,3,975,531,23,29,144,
img1_r009_c004.png,1,9,4,1052,521,24,53,681,
img1_r009_c005.png,1,9,5,1382,523,21,25,365,
img1_r009_c006.png,1,9,6,1591,530,24,23,224,
img1_r009_c007.png,1,9,7,1898,531,17,28,295,
img1_r009_c008.png,1,9,8,2021,576,23,51,451,
img1_r009_c009.png,1,9,9,2068,574,21,24,200,
img1_r010_c000.png,1,10,0,401,594,26,26,482,
img1_r010_c001.png,1,10,1,480,593,15,36,191,
img1_r010_c002.png,1,10,2,601,587,20,30,216,
img1_r010_c003.png,1,10,3,644,584,22,33,265,
img1_r010_c004.png,1,10,4,793,589,25,36,437,
img1_r010_c005.png,1,10,5,885,608,12,23,131,
img1_r010_c006.png,1,10,6,970,600,18,40,288,
img1_r010_c007.png,1,10,7,1057,593,25,46,690,
img1_r010_c008.png,1,10,8,1094,595,18,21,186,
img1_r010_c009.png,1,10,9,1384,591,22,26,408,
img1_r010_c010.png,1,10,10,1474,589,14,36,209,
img1_r010_c011.png,1,10,11,1573,599,30,23,175,
img1_r010_c012.png,1,10,12,1653,583,25,41,352,
img1_r010_c013.png,1,10,13,1750,590,32,40,403,
img1_r010_c014.png,1,10,14,1831,586,25,41,318,
img1_r010_c015.png,1,10,15,1889,583,20,45,488,
img1_r010_c016.png,1,10,16,1959,584,22,38,293,
img1_r010_c017.png,1,10,17,2071,642,18,22,288,
img1_r010_c018.png,1,10,18,2907,585,16,20,161,
img1_r011_c000.png,1,11,0,194,693,23,17,130,
img1_r011_c001.png,1,11,1,406,665,18,30,393,
img1_r011_c002.png,1,11,2,487,653,15,45,247,
img1_r011_c003.png,1,11,3,596,667,32,28,296,
img1_r011_c004.png,1,11,4,663,658,22,39,310,
img1_r011_c005.png,1,11,5,711,654,21,43,233,
img1_r011_c006.png,1,11,6,789,671,27,37,385,
img1_r011_c007.png,1,11,7,898,680,17,27,199,
img1_r011_c008.png,1,11,8,1000,679,18,43,287,
img1_r011_c009.png,1,11,9,1074,669,19,51,368,
img1_r011_c010.png,1,11,10,1102,668,22,48,276,
img1_r011_c011.png,1,11,11,1378,655,23,28,466,
img1_r011_c012.png,1,11,12,1468,651,13,37,211,
img1_r011_c013.png,1,11,13,1578,654,29,32,307,
img1_r011_c014.png,1,11,14,1657,655,23,35,316,
img1_r011_c015.png,1,11,15,1751,648,20,48,260,
img1_r011_c016.png,1,11,16,1827,663,24,34,312,
img1_r011_c017.png,1,11,17,1893,674,13,21,125,
img1_r011_c018.png,1,11,18,2015,642,25,52,829,
img1_r012_c000.png,1,12,0,189,722,24,31,237,
img1_r012_c001.png,1,12,1,385,747,34,29,683,
img1_r012_c002.png,1,12,2,587,746,30,40,306,
img1_r012_c003.png,1,12,3,656,742,23,45,353,
img1_r012_c004.png,1,12,4,700,740,34,50,544,
img1_r012_c005.png,1,12,5,784,756,28,41,350,
img1_r012_c006.png,1,12,6,889,770,20,28,230,
img1_r012_c007.png,1,12,7,1000,764,15,33,202,
img1_r012_c008.png,1,12,8,1059,744,27,50,484,
img1_r012_c009.png,1,12,9,1107,739,17,49,229,
img1_r012_c010.png,1,12,10,1381,732,22,30,489,
img1_r012_c011.png,1,12,11,1467,729,13,38,234,
img1_r012_c012.png,1,12,12,1578,733,25,27,248,
img1_r012_c013.png,1,12,13,1658,730,20,32,278,
img1_r012_c014.png,1,12,14,1754,732,34,41,441,
img1_r012_c015.png,1,12,15,1828,734,29,35,348,
img1_r012_c016.png,1,12,16,1889,720,24,49,623,
img1_r012_c017.png,1,12,17,1952,726,28,38,329,
img1_r012_c018.png,1,12,18,2015,719,22,51,647,
img1_r012_c019.png,1,12,19,2066,709,28,51,301,
img1_r013_c000.png,1,13,0,114,818,81,42,521,
img1_r013_c001.png,1,13,1,125,797,41,22,170,
img1_r013_c002.png,1,13,2,376,820,28,31,342,
img1_r013_c003.png,1,13,3,483,816,14,35,206,
img1_r013_c004.png,1,13,4,577,823,34,39,352,
img1_r013_c005.png,1,13,5,673,814,33,51,618,
img1_r013_c006.png,1,13,6,799,832,31,47,523,
img1_r013_c007.png,1,13,7,897,843,11,26,140,
