filename,img_source,row,col,x,y,w,h,area,digit_label
img1_r000_c000.png,1,0,0,0,4,39,13,165,2
img1_r000_c001.png,1,0,1,487,9,54,20,246,5
img1_r000_c002.png,1,0,2,729,13,32,13,204,0
img1_r000_c003.png,1,0,3,899,8,38,13,213,2
img1_r000_c004.png,1,0,4,1155,9,69,18,333,2
img1_r000_c005.png,1,0,5,1828,20,32,16,170,7
img1_r001_c000.png,1,1,0,359,77,38,13,187,0
img1_r001_c001.png,1,1,1,1065,89,37,14,181,3
img1_r001_c002.png,1,1,2,1104,82,45,18,315,7
img1_r001_c003.png,1,1,3,1146,82,116,25,609,2
img1_r001_c004.png,1,1,4,1186,54,27,14,195,7
img1_r001_c005.png,1,1,5,1316,72,31,11,180,7
img1_r001_c006.png,1,1,6,1553,67,112,24,830,2
img1_r001_c007.png,1,1,7,1664,78,111,22,699,2
img1_r001_c008.png,1,1,8,2054,62,37,24,166,8
img1_r001_c009.png,1,1,9,2069,42,523,77,5230,7
img1_r002_c000.png,1,2,0,0,160,30,10,180,2
img1_r002_c001.png,1,2,1,2541,120,74,85,494,7
img1_r002_c002.png,1,2,2,2581,103,325,54,2236,2
img1_r002_c003.png,1,2,3,2594,138,47,16,199,2
img1_r003_c000.png,1,3,0,433,217,28,37,699,0
img1_r003_c001.png,1,3,1,518,211,11,33,161,1
img1_r003_c002.png,1,3,2,669,209,24,39,275,3
img1_r003_c003.png,1,3,3,731,212,35,39,386,4
img1_r003_c004.png,1,3,4,822,212,27,33,388,5
img1_r003_c005.png,1,3,5,900,206,21,44,447,6
img1_r003_c006.png,1,3,6,980,202,22,43,262,7
img1_r003_c007.png,1,3,7,1040,202,22,47,585,8
img1_r003_c008.png,1,3,8,1098,203,33,52,440,9
img1_r003_c009.png,1,3,9,1379,211,25,25,420,0
img1_r003_c010.png,1,3,10,1608,214,26,34,270,2
img1_r003_c011.png,1,3,11,1672,218,29,32,266,3
img1_r003_c012.png,1,3,12,1745,204,34,43,387,4
